lam,eq_min,ma_filter,yc_bonds,is_sharpe,is_cagr,is_maxdd,is_excess,oos_sharpe,oos_cagr,oos_maxdd,oos_excess
5,0.3,True,True,0.4014804758960962,0.04409685257002915,-0.17772432255383752,-0.04333383388888858,0.344215881275793,0.04397266929741611,-0.3043822596346947,-0.04973882160730021
10,0.3,True,True,0.3993283169428066,0.04391481873572716,-0.18033335765059555,-0.04351586772319057,0.34139031322660285,0.04375818462521766,-0.3043822596346947,-0.04995330627949866
25,0.3,True,True,0.511063652535702,0.05412679223236621,-0.1717733393907822,-0.03330389422655152,0.3412312650936943,0.04377446894650401,-0.3043822596346947,-0.04993702195821231
5,0.4,True,True,0.42716901741882435,0.04652144512041923,-0.1775327519087604,-0.0409092413384985,0.37075400194756164,0.048078610760641294,-0.3043822596346947,-0.04563288014407503
10,0.4,True,True,0.4253985687873145,0.04637581805297764,-0.1796218908060323,-0.04105486840594009,0.36844494387016136,0.04791040003186316,-0.3043822596346947,-0.04580109087285317
25,0.4,True,True,0.5214903004686597,0.05493568284757096,-0.17416140468144292,-0.03249500361134677,0.3683018839056052,0.04792342748889225,-0.3043822596346947,-0.04578806341582407
5,0.5,True,True,0.4442437725247661,0.04847213057590701,-0.1774636652292758,-0.03895855588301072,0.38850741686655454,0.05129189464829908,-0.3043822596346947,-0.042419596256417245
10,0.5,True,True,0.4429023488537981,0.04836291027532583,-0.17903172053658056,-0.039067776183591904,0.38676033480645855,0.05116995786294127,-0.3043822596346947,-0.042541533041775055
25,0.5,True,True,0.5208513684810842,0.05527134560750513,-0.17656493977591103,-0.0321593408514126,0.38664672921163146,0.05117972845571308,-0.3043822596346947,-0.042531762449003245
5,0.3,True,False,0.3436548529173839,0.03666600808383216,-0.18114580772320854,-0.05076467837508557,0.34197910868622455,0.04425845513884742,-0.3043822596346947,-0.0494530357658689
10,0.3,True,False,0.34150044829630277,0.03648397424953017,-0.18374398663738156,-0.05094671220938756,0.33921172025145563,0.04404397046664898,-0.3043822596346947,-0.049667520438067346
25,0.3,True,False,0.42153511084438444,0.04316388105953942,-0.1717733393907832,-0.04426680539937831,0.339060107009336,0.04406025478793534,-0.3043822596346947,-0.04965123611678098
5,0.4,True,False,0.37224781649213784,0.04015214984653609,-0.18060526343736205,-0.04727853661238164,0.3674997587744972,0.048180912778998365,-0.3043822596346947,-0.04553057812571796
