lam,eq_max,eq_min,bond_mode,is_sharpe,is_cagr,is_maxdd,is_excess,oos_sharpe,oos_cagr,oos_maxdd,oos_excess
5,0.8,0.2,long,0.50758382261934,0.05696863253731886,-0.16391570615283313,-0.03046205392159887,0.20654434664623553,0.027815948074230202,-0.3043822596346947,-0.06589554283048613
5,0.8,0.2,medium,0.37230647058771726,0.03892127759047613,-0.17201182541536408,-0.0485094088684416,0.2648729119823575,0.03310404823572844,-0.3043822596346947,-0.06060744266898788
5,0.8,0.2,short,0.2686429928709733,0.028080603445419895,-0.1831818944255803,-0.05935008301349784,0.2942432687421048,0.03552746361705214,-0.3043822596346947,-0.05818402728766418
5,0.8,0.3,long,0.5286335573961117,0.05784186737401091,-0.16391570615283346,-0.02958881908490682,0.2484447216948191,0.033311626927749756,-0.3043822596346947,-0.06039986397696657
5,0.8,0.3,medium,0.39671273295750153,0.041654814700783076,-0.17262659831488258,-0.045775871758134655,0.32002790176196483,0.040391700460576205,-0.3043822596346947,-0.05331979044414012
5,0.8,0.3,short,0.3038393861631178,0.032166160680322776,-0.18251354738008163,-0.055264525778594954,0.34023109985405087,0.041825587792735576,-0.3043822596346947,-0.05188590311198075
5,0.8,0.4,long,0.5399118397725565,0.058267425415144916,-0.1639157061528328,-0.029163261043772815,0.29191310364658885,0.039104098537082056,-0.3043822596346947,-0.05460739236763427
5,0.8,0.4,medium,0.417762448509114,0.044388351811090014,-0.17334276333030574,-0.04304233464782772,0.3575237766055229,0.04577019654859739,-0.3043822596346947,-0.047941294356118935
5,0.8,0.4,short,0.33652067068566527,0.03625171791522565,-0.18191341113616644,-0.05117896854369208,0.3761757081487979,0.04727246975210434,-0.3043822596346947,-0.04643902115261198
5,0.8,0.5,long,0.5398270447397056,0.05823274633940679,-0.16391570615283346,-0.02919794011951094,0.33289384576805553,0.044765094262384696,-0.3043822596346947,-0.04894639664233163
5,0.8,0.5,medium,0.43111222931626514,0.046661651804524806,-0.17416009876684013,-0.040769034654392924,0.3785588373706122,0.04932960212867999,-0.3043822596346947,-0.044381888776036334
5,0.8,0.5,short,0.3623945887695497,0.03987703803325639,-0.18138166873685913,-0.04755364842566134,0.40013747139665534,0.05161952043381349,-0.3043822596346947,-0.04209197047090284
5,0.9,0.2,long,0.4786451378744401,0.058279398071436624,-0.17949803412601573,-0.029151288387481107,0.17621135378877234,0.025691886754702433,-0.3380014341465025,-0.06801960415001389
5,0.9,0.2,medium,0.3508642289262106,0.040247642719102576,-0.1927335606512437,-0.047183043739815154,0.22629666000537021,0.030979986916200665,-0.3380014341465025,-0.06273150398851565
5,0.9,0.2,short,0.2564887561186888,0.02941922514819068,-0.20362408072622418,-0.058011461310727055,0.2510754583838405,0.03340340229752437,-0.3380014341465025,-0.06030808860719195
